Image-Name,Label
0076bcb66e46fb485f5ba432b9a1fe8a-0-0,1
0076bcb66e46fb485f5ba432b9a1fe8a-0-257,1
0076bcb66e46fb485f5ba432b9a1fe8a-0-514,1
0076bcb66e46fb485f5ba432b9a1fe8a-1028-1799,1
0076bcb66e46fb485f5ba432b9a1fe8a-1028-2056,1
0076bcb66e46fb485f5ba432b9a1fe8a-1028-2313,1
0076bcb66e46fb485f5ba432b9a1fe8a-1028-2570,1
0076bcb66e46fb485f5ba432b9a1fe8a-1028-2827,0
0076bcb66e46fb485f5ba432b9a1fe8a-1285-1028,0
0076bcb66e46fb485f5ba432b9a1fe8a-1285-2313,1
0076bcb66e46fb485f5ba432b9a1fe8a-1285-2570,1
0076bcb66e46fb485f5ba432b9a1fe8a-1285-2827,0
0076bcb66e46fb485f5ba432b9a1fe8a-1285-3084,0
0076bcb66e46fb485f5ba432b9a1fe8a-1285-514,0
0076bcb66e46fb485f5ba432b9a1fe8a-1285-771,0
0076bcb66e46fb485f5ba432b9a1fe8a-1542-1028,0
0076bcb66e46fb485f5ba432b9a1fe8a-1542-1285,0
0076bcb66e46fb485f5ba432b9a1fe8a-1542-1542,0
0076bcb66e46fb485f5ba432b9a1fe8a-1542-257,0
0076bcb66e46fb485f5ba432b9a1fe8a-1542-2827,0
0076bcb66e46fb485f5ba432b9a1fe8a-1542-3084,0
0076bcb66e46fb485f5ba432b9a1fe8a-1542-3341,0
0076bcb66e46fb485f5ba432b9a1fe8a-1542-514,0
0076bcb66e46fb485f5ba432b9a1fe8a-1542-771,0
0076bcb66e46fb485f5ba432b9a1fe8a-1799-1028,0
0076bcb66e46fb485f5ba432b9a1fe8a-1799-1285,0
0076bcb66e46fb485f5ba432b9a1fe8a-1799-1542,0
0076bcb66e46fb485f5ba432b9a1fe8a-1799-2827,0
0076bcb66e46fb485f5ba432b9a1fe8a-1799-3084,0
0076bcb66e46fb485f5ba432b9a1fe8a-1799-3341,0
0076bcb66e46fb485f5ba432b9a1fe8a-1799-514,0
0076bcb66e46fb485f5ba432b9a1fe8a-1799-771,0
0076bcb66e46fb485f5ba432b9a1fe8a-2056-1285,0
0076bcb66e46fb485f5ba432b9a1fe8a-2056-1542,0
0076bcb66e46fb485f5ba432b9a1fe8a-2056-1799,0
0076bcb66e46fb485f5ba432b9a1fe8a-2056-3084,0
0076bcb66e46fb485f5ba432b9a1fe8a-2056-3341,0
0076bcb66e46fb485f5ba432b9a1fe8a-2313-1542,0
0076bcb66e46fb485f5ba432b9a1fe8a-2313-1799,0
0076bcb66e46fb485f5ba432b9a1fe8a-2313-2056,0
0076bcb66e46fb485f5ba432b9a1fe8a-257-0,1
0076bcb66e46fb485f5ba432b9a1fe8a-257-1028,1
0076bcb66e46fb485f5ba432b9a1fe8a-257-1285,1
0076bcb66e46fb485f5ba432b9a1fe8a-257-1542,1
0076bcb66e46fb485f5ba432b9a1fe8a-257-1799,1
0076bcb66e46fb485f5ba432b9a1fe8a-257-257,1
0076bcb66e46fb485f5ba432b9a1fe8a-257-514,1
0076bcb66e46fb485f5ba432b9a1fe8a-257-771,1
0076bcb66e46fb485f5ba432b9a1fe8a-2570-1799,0
0076bcb66e46fb485f5ba432b9a1fe8a-514-0,1
0076bcb66e46fb485f5ba432b9a1fe8a-514-1028,1
0076bcb66e46fb485f5ba432b9a1fe8a-514-1285,1
0076bcb66e46fb485f5ba432b9a1fe8a-514-1542,1
0076bcb66e46fb485f5ba432b9a1fe8a-514-1799,1
